cann1balcls,2021-10-10 20:10:08+00:00,this is the way I want to die
vampfangzzzz,2021-10-10 20:09:45+00:00,My stomach feels so full and I m gonna get sick any minute god pls I don t want to die
astr0gal,2021-10-10 20:09:43+00:00,FLASH GENSHIN GIVEAWAY kokomi s banner is ending really soon so I want to give out some last minute crystals to all th
ifuckedkaeya,2021-10-10 20:09:43+00:00,FLASH GENSHIN GIVEAWAY kokomi s banner is ending really soon so I want to give out some last minute crystals to all th
bandaidzZ,2021-10-10 20:09:39+00:00,i want to die but i have shoes coming in on tuesday so
yumadyusad,2021-10-10 20:09:25+00:00,If I die tomorrow it d be a holiday I want to ask you who I was to you for the last time Did I make you laugh or W
penalugsontwt,2021-10-10 20:09:23+00:00,FLASH GENSHIN GIVEAWAY kokomi s banner is ending really soon so I want to give out some last minute crystals to all th
westxxallens,2021-10-10 20:09:11+00:00,yeah currently streaming mine and i want to die
Chinedu74081213,2021-10-10 20:09:09+00:00,Mazi gave his precious life for me and you with all that Nigeria government promised him and you as criminal govern
queerignis,2021-10-10 20:09:06+00:00,had a hard time sleeping earlier so i played sky and fixed up the forgotten ark only to find i need rhe candles fro
Haseyoww,2021-10-10 20:09:06+00:00,i just want to fucking die
tiltheafternoon,2021-10-10 20:09:05+00:00,if i ever die i want it to happen while 2 38 in Sex Sells is playing
Hekuta__,2021-10-10 20:08:34+00:00,FLASH GENSHIN GIVEAWAY kokomi s banner is ending really soon so I want to give out some last minute crystals to all th
extyranomon,2021-10-10 20:08:29+00:00,Please i want to die knowing this game at least reached its beta build
EYES_S2,2021-10-10 20:08:11+00:00,If I m destined to die anyway I want to die from the observer
R4GV1NDRBF,2021-10-10 20:08:10+00:00,FLASH GENSHIN GIVEAWAY kokomi s banner is ending really soon so I want to give out some last minute crystals to all th
GrayscaleLyric,2021-10-10 20:08:08+00:00,i want to die
epidatageek,2021-10-10 20:08:05+00:00,I tried to explain this to someone who was helping me grocery shop today while I was having a prolonged panic attack be
blacklodgehoe,2021-10-10 20:08:00+00:00,its my problem its my problem if i feel the need to hide and ITS MY PROBLEM ITS MY PROBLEM IF I HAVE NO FRIENDS AND
shroom_charmer,2021-10-10 20:07:57+00:00,FLASH GENSHIN GIVEAWAY kokomi s banner is ending really soon so I want to give out some last minute crystals to all th
_Doge_Man,2021-10-10 20:07:57+00:00,I want to die
GKroegs,2021-10-10 20:07:31+00:00,i want to die con
KazuraNick,2021-10-10 20:07:26+00:00,I want to die
ImReedy__,2021-10-10 20:07:05+00:00,I need all the positive vibes and love sending to this goodest boy He s currently having a neurological event th
strtrek,2021-10-10 20:07:05+00:00,Tim I m an overweight person with severe asthma Would you like to know how many times a day I have hea
GKroegs,2021-10-10 20:06:59+00:00,i want to die
Doces_E_Tuga,2021-10-10 20:06:39+00:00,FLASH GENSHIN GIVEAWAY kokomi s banner is ending really soon so I want to give out some last minute crystals to all th
